,AFG,ALB,ALG,AND,ANG,AAB,ARG,ARM,AUL,AUS,AZE,BHM,BAH,BNG,BAR,BLR,BEL,BLZ,BEN,BHU,BOL,BOS,BOT,BRA,BRU,BUL,BFO,MYA,BUI,CAP,CAM,CAO,CAN,CEN,CHA,CHL,CHN,COL,COM,DRC,CON,COS,CDI,CRO,CUB,CYP,CZE,DEN,DJI,DMA,DOM,ECU,EGY,SAL,EQG,ERI,EST,SWA,ETH,FIJ,FIN,FRN,GAB,GAM,GRG,GER,GHA,GRC,GRN,GUA,GUI,GNB,GUY,HAI,HON,HUN,ICE,IND,INS,IRN,IRQ,IRE,ISR,ITA,JAM,JPN,JOR,KZK,KEN,KIR,PRK,KOR,KOS,KUW,KYR,LAO,LAT,LEB,LES,LBR,LIB,LIE,LIT,LUX,MAG,MAW,MAL,MAD,MLI,MLT,MSI,MAA,MAS,MEX,FSM,MLD,MNC,MON,MNG,MOR,MZM,NAM,NAU,NEP,NTH,NEW,NIC,NIR,NIG,MAC,NOR,OMA,PAK,PAL,PAN,PNG,PAR,PER,PHI,POL,POR,QAT,ROM,RUS,RWA,SKN,SLU,SVG,WSM,SNM,STP,SAU,SEN,SER,SEY,SIE,SIN,SLO,SLV,SOL,SOM,SAF,SSD,SPN,SRI,SUD,SUR,SWD,SWZ,SYR,TAW,TAJ,TAZ,THI,ETM,TOG,TON,TRI,TUN,TUR,TKM,TUV,UGA,UKR,UAE,UKG,USA,URU,UZB,VAN,VEN,DRV,YEM,ZAM,ZIM
NOR,38,43,43,21,34,31,51,38,55,61,42,35,36,42,33,39,65,33,41,29,39,44,35,51,29,50,40,34,32,35,35,38,63,33,35,45,49,44,32,40,38,41,39,53,32,46,55,71,34,30,41,42,44,39,29,31,55,34,39,37,69,68,36,35,42,69,42,59,27,43,38,33,33,37,39,56,55,50,41,38,34,58,46,69,36,63,45,41,40,23,22,58,6,40,39,31,51,37,34,37,36,24,49,56,40,36,38,31,38,48,22,37,40,52,21,41,29,42,44,44,39,38,15,39,70,51,38,37,46,44,74,32,43,21,40,37,40,45,43,59,63,39,54,56,37,26,31,27,30,29,34,40,43,47,36,37,39,53,53,24,29,49,21,66,41,37,35,70,68,34,4,38,41,43,30,38,29,39,43,59,32,20,38,47,38,66,65,39,35,30,41,36,39,38,36
OMA,34,32,41,16,31,28,35,31,31,31,34,32,42,37,29,30,31,28,34,28,33,34,31,36,29,31,34,30,28,30,31,36,31,29,31,35,34,35,33,34,32,34,35,33,30,34,31,31,35,27,34,34,41,33,27,31,29,30,32,31,32,33,34,33,30,32,34,33,24,34,33,32,29,32,32,32,30,36,37,37,40,30,31,32,33,33,41,34,31,20,23,32,5,43,33,30,29,41,30,32,41,12,28,29,33,32,37,31,33,31,20,40,35,34,18,29,22,33,31,41,36,31,13,33,32,32,31,33,37,29,32,43,37,18,34,33,32,35,35,32,33,42,33,34,30,23,28,25,26,21,28,43,36,32,31,34,31,30,29,22,32,35,20,32,36,40,30,32,31,41,2,34,34,36,26,34,26,33,42,35,29,18,35,32,42,30,29,34,32,27,35,34,39,30,32
PAK,46,38,44,18,36,34,46,36,44,42,43,37,42,57,35,36,41,34,47,34,43,41,36,49,36,39,43,39,34,34,43,44,45,33,36,43,55,43,34,41,37,41,44,43,36,42,41,42,37,32,41,45,51,43,30,34,37,36,40,41,43,46,40,41,37,46,48,41,28,44,43,37,35,38,41,42,36,58,53,50,39,40,40,43,38,49,49,44,43,24,26,50,6,41,44,37,36,42,35,38,41,17,35,38,39,41,53,38,42,38,23,40,41,43,22,35,25,47,39,45,42,41,16,48,44,44,38,39,53,36,43,37,70,22,40,42,45,47,48,43,43,43,42,50,41,27,33,30,31,25,33,43,47,41,35,42,41,38,35,26,33,46,21,41,55,41,36,44,43,39,4,42,44,49,32,43,31,40,45,48,35,21,42,44,41,45,47,41,39,34,43,43,46,41,40
PAL,19,19,20,11,19,20,20,19,24,20,20,21,20,22,19,19,21,20,21,15,20,20,19,20,18,20,20,19,18,21,21,21,22,18,19,20,23,20,20,20,20,20,20,20,18,20,20,21,19,19,21,20,20,19,19,18,19,19,20,24,21,23,21,20,20,22,22,20,19,19,19,20,19,21,19,20,20,22,23,21,20,20,20,22,20,22,21,20,22,22,12,23,5,20,20,19,20,20,19,20,20,8,19,20,20,20,23,19,20,20,22,20,22,20,22,19,14,22,20,20,21,21,14,21,21,24,19,19,22,19,21,18,22,27,20,25,19,21,22,20,21,20,20,20,20,19,19,18,24,17,20,20,22,20,21,21,22,20,19,23,18,22,13,22,21,20,20,21,21,19,2,19,22,23,22,21,23,21,20,22,18,19,19,20,20,22,22,19,18,24,20,21,21,20,21
PAN,37,38,39,20,37,36,52,35,39,40,38,40,38,40,38,35,40,39,40,29,48,40,37,51,30,38,39,33,33,37,35,38,40,33,34,52,42,52,33,39,37,51,39,41,39,41,39,39,34,35,50,50,39,49,30,33,36,35,37,36,41,42,37,36,37,42,40,40,32,50,36,34,40,44,49,40,37,42,39,38,36,37,39,44,40,44,41,36,37,22,24,43,6,39,35,33,36,38,35,37,38,19,36,37,40,38,38,32,37,40,22,36,41,52,21,36,26,39,37,42,39,37,15,38,41,40,46,37,42,37,40,34,40,20,53,36,49,52,43,39,44,39,42,40,35,29,36,32,30,28,35,39,41,39,36,36,36,37,36,24,29,41,21,46,41,37,40,40,42,35,5,36,40,41,31,37,28,43,41,40,30,19,38,39,36,40,38,50,33,32,48,38,39,36,37
PNG,37,34,36,17,35,32,37,34,44,35,36,36,35,42,34,31,35,34,38,31,37,35,37,38,34,33,37,38,32,36,38,39,41,33,34,38,41,38,32,38,37,36,37,35,34,37,33,36,33,33,39,38,37,37,30,31,32,35,38,43,36,38,35,35,34,37,39,35,28,39,37,35,35,37,37,34,32,44,44,37,35,34,32,37,38,43,37,36,37,28,25,41,5,36,36,36,31,34,36,35,35,15,31,33,38,38,42,34,38,34,26,37,39,37,27,33,23,40,32,36,39,38,21,39,37,44,35,37,41,32,37,33,42,25,36,50,36,40,43,35,36,37,36,39,36,28,34,31,35,23,35,37,39,34,38,38,38,32,32,32,30,39,21,37,42,36,34,37,36,35,4,36,40,43,36,37,34,39,37,37,31,26,36,35,34,37,40,37,32,36,36,40,37,37,37
PAR,36,37,39,20,36,34,54,34,37,41,37,39,36,44,37,33,40,38,45,30,55,40,36,59,29,37,40,33,34,37,36,38,42,33,35,53,48,51,32,38,36,47,40,44,38,39,39,40,34,34,47,56,42,52,30,33,36,35,37,37,41,46,37,39,38,43,44,38,32,52,40,33,40,43,50,40,36,46,44,36,34,40,38,43,39,43,46,37,40,22,22,48,6,37,37,32,35,36,34,36,37,19,37,38,39,42,41,32,39,39,22,37,39,49,21,39,25,42,37,43,37,42,15,45,42,38,44,39,46,37,40,32,45,19,49,36,61,56,44,42,42,39,44,44,37,29,35,31,30,28,35,37,44,42,36,36,35,36,36,23,29,41,21,44,45,37,40,40,43,34,3,36,41,40,31,39,27,42,42,38,29,19,39,44,36,42,41,53,33,30,47,36,42,41,40
PER,39,39,44,20,37,36,58,35,45,42,39,40,39,47,39,35,45,39,46,30,56,42,37,62,31,41,43,35,34,37,38,41,48,34,36,59,53,58,33,43,39,51,44,44,40,43,42,44,35,35,50,59,47,52,30,33,39,35,41,39,45,50,38,39,37,48,48,43,32,57,42,34,41,44,50,42,39,50,47,42,37,42,41,48,41,50,48,38,42,22,25,52,6,41,39,33,39,40,36,39,38,19,37,39,42,41,44,32,43,40,22,38,42,56,21,39,27,44,39,46,42,42,15,44,47,45,46,40,51,39,45,35,47,21,52,40,56,67,50,46,47,41,48,49,39,29,36,32,30,28,36,41,47,44,37,40,40,38,39,25,30,48,21,50,47,38,41,47,47,37,5,38,46,47,32,41,29,46,45,43,31,19,41,44,38,47,47,56,33,32,51,39,45,43,41
PHI,41,38,43,20,37,34,48,36,47,42,41,36,40,48,35,35,42,34,43,31,44,41,37,50,36,42,39,39,34,37,40,39,47,33,35,49,51,47,33,42,38,44,41,45,37,43,41,43,35,33,43,47,44,43,30,33,39,35,39,40,45,48,38,38,38,43,44,43,29,46,38,34,35,40,42,42,39,53,51,43,37,42,40,46,37,51,46,38,39,24,26,54,6,40,38,38,39,40,36,37,38,19,37,40,41,39,49,34,38,40,24,37,42,47,23,39,27,43,39,43,41,40,17,43,43,48,40,39,47,39,43,35,48,22,43,43,44,50,59,44,45,41,46,49,36,27,34,30,32,27,35,42,44,44,36,37,44,38,38,26,30,45,21,46,48,38,36,44,43,37,5,38,41,54,35,40,31,40,44,45,32,21,40,42,39,42,48,45,35,34,45,45,42,39,39
POL,36,45,41,22,33,31,47,39,50,60,42,33,37,43,32,42,60,31,44,26,43,45,34,49,28,58,38,31,31,34,34,39,56,31,33,43,47,42,31,39,36,41,40,57,33,50,64,62,33,31,40,43,45,39,28,31,55,32,36,36,63,68,36,36,42,64,43,62,26,42,38,32,32,37,38,61,50,49,42,37,33,56,44,63,34,56,46,41,38,21,22,55,7,38,38,31,54,37,33,34,36,23,53,57,39,38,40,29,38,50,21,36,40,50,20,45,30,40,47,44,38,39,13,40,64,47,36,38,45,46,59,32,43,20,39,35,42,46,44,71,60,39,63,58,35,25,32,27,28,29,32,38,45,53,34,34,37,59,56,22,28,46,19,62,41,36,33,63,57,33,3,36,40,44,27,38,27,36,46,57,32,18,37,55,37,62,58,41,35,31,41,36,40,38,37
POR,38,44,42,22,37,32,53,39,53,65,43,35,37,42,34,39,67,33,41,28,41,45,36,52,29,55,39,33,32,37,35,38,59,32,34,48,48,47,32,40,37,45,40,57,35,51,60,65,34,31,45,45,43,42,30,32,56,34,37,37,68,70,36,36,44,69,41,64,27,44,37,35,34,39,42,61,50,49,41,38,34,59,48,71,36,63,44,41,38,23,23,58,6,40,38,32,53,37,35,37,37,23,50,59,40,37,39,31,37,53,22,36,42,56,21,42,30,40,45,45,41,38,15,38,69,51,40,37,44,46,63,33,43,21,44,36,42,47,45,60,73,38,59,54,36,26,32,28,30,31,35,40,43,48,35,37,39,57,57,24,29,49,20,70,41,37,35,66,63,34,4,38,40,44,31,38,29,40,44,62,33,20,38,48,37,65,59,43,36,31,44,37,39,36,36
QAT,38,39,48,19,35,31,41,36,36,38,39,36,47,43,31,34,40,34,41,29,39,40,34,43,32,37,40,34,33,35,37,42,38,34,36,40,42,41,37,39,36,40,40,41,35,41,38,38,38,31,40,40,49,39,31,33,36,34,36,34,40,41,39,36,36,41,40,40,27,41,37,35,34,38,39,39,36,44,44,42,46,37,37,40,36,41,46,40,37,22,24,41,6,48,38,33,36,45,33,35,47,17,36,37,39,36,42,33,38,37,22,46,40,40,21,34,27,39,38,48,41,36,14,38,40,36,37,38,45,37,39,42,43,20,39,37,39,41,41,39,38,55,39,40,35,26,32,28,28,24,35,49,43,40,37,38,34,36,37,24,35,39,21,40,43,44,36,38,39,43,2,38,39,43,30,39,28,37,47,42,31,19,37,40,50,38,38,40,35,31,42,39,44,35,35
ROM,37,47,42,23,35,32,49,40,47,58,43,34,37,44,33,42,58,32,44,27,44,47,35,50,28,58,39,32,32,36,35,39,53,32,34,45,46,45,32,40,37,44,40,58,35,51,59,58,34,32,43,46,46,42,29,31,53,33,37,37,58,63,36,36,44,59,44,59,27,45,39,33,33,39,40,59,47,46,41,38,34,54,44,61,35,53,47,40,39,22,23,52,7,38,39,32,53,38,34,35,36,22,50,53,40,38,40,30,39,51,21,36,41,50,20,48,30,41,47,45,40,39,14,40,58,46,39,39,46,48,54,33,42,20,42,36,44,48,46,63,59,39,68,56,36,26,33,28,29,30,34,39,45,55,35,35,36,55,54,23,28,46,20,60,42,36,34,58,54,34,3,37,41,45,29,39,28,37,47,55,32,19,38,56,37,57,53,44,35,31,43,37,41,39,38
RUS,39,43,43,20,34,31,51,45,54,55,48,34,39,49,32,48,53,32,44,29,44,45,34,54,33,50,39,35,32,33,39,39,58,31,33,45,60,43,31,38,35,41,39,51,35,45,51,56,34,30,40,45,49,43,28,31,46,33,37,37,57,62,35,37,43,58,44,53,26,44,40,33,33,37,39,51,47,58,50,41,36,54,46,59,35,61,48,50,40,22,24,62,6,41,48,34,45,38,33,35,37,21,43,47,38,39,48,30,39,45,20,36,39,52,20,47,28,45,43,46,39,39,13,43,57,51,38,38,48,43,56,34,50,20,40,39,44,49,49,58,54,40,56,80,36,25,31,27,28,28,32,41,44,51,33,36,41,50,46,23,29,50,20,56,47,37,34,59,56,35,4,45,41,50,29,40,28,37,46,59,35,19,39,58,38,56,63,42,40,30,41,41,44,39,39
RWA,35,33,37,18,36,30,37,33,34,36,34,34,34,41,33,32,35,32,44,30,37,36,38,39,28,33,42,32,40,37,38,40,36,36,38,36,40,36,35,42,39,37,40,36,30,37,34,36,37,31,38,39,42,37,32,34,34,39,41,37,35,37,38,39,33,38,44,35,27,37,40,37,32,36,35,35,31,40,36,36,33,33,34,36,34,36,40,32,46,23,21,38,7,35,36,33,32,35,37,37,37,16,32,34,41,40,37,30,42,34,20,38,40,35,22,34,21,37,34,39,39,42,16,38,37,35,36,39,44,34,37,30,41,20,35,36,37,39,36,35,36,35,36,36,49,26,32,28,30,23,36,35,43,35,38,40,33,32,32,24,31,42,22,35,38,39,32,36,38,32,3,34,44,38,29,42,28,35,38,34,29,20,43,35,35,36,34,36,30,31,35,35,38,44,42
SKN,25,26,26,15,26,35,29,24,24,26,25,34,24,26,34,22,26,34,28,21,29,27,27,29,22,25,26,24,26,28,25,27,27,26,26,29,27,31,28,27,27,29,27,26,26,27,25,26,27,35,33,29,25,29,27,24,25,27,26,29,26,26,27,27,26,27,29,26,35,30,27,27,35,33,30,26,25,27,25,25,25,26,25,27,34,26,26,25,26,23,16,26,5,25,23,24,24,26,27,27,25,13,25,26,27,28,26,27,26,27,21,26,28,30,19,25,17,26,25,26,27,28,17,25,26,26,29,26,29,26,26,23,27,19,29,28,29,29,27,25,26,26,26,25,26,36,36,35,29,20,27,26,27,25,29,28,26,24,25,25,24,28,17,26,27,26,34,26,26,25,2,25,28,26,26,26,26,34,27,25,23,21,27,24,25,27,24,29,24,27,32,25,26,27,26
SLU,31,33,32,17,32,40,36,30,30,33,32,38,30,33,40,28,32,38,36,25,35,34,34,36,26,32,34,29,32,34,31,34,34,31,31,36,31,38,33,34,34,37,34,33,31,35,32,31,33,42,41,36,32,36,29,30,31,32,32,34,32,32,33,33,32,32,36,33,37,37,34,33,41,40,37,33,30,34,32,30,30,31,29,32,39,32,33,30,32,25,20,31,7,32,28,30,30,32,33,33,30,15,31,32,35,35,32,30,34,32,21,32,36,37,20,31,20,32,30,33,35,34,17,32,31,32,35,34,36,32,31,28,33,19,36,34,35,36,34,32,32,32,33,31,32,36,44,38,32,21,33,31,35,32,35,34,31,31,30,27,27,35,19,31,34,31,39,32,32,30,3,30,35,34,29,33,29,40,35,31,28,22,33,32,30,32,29,36,29,33,38,31,33,32,32
SVG,28,28,28,15,29,38,32,27,26,28,28,36,27,29,36,25,27,35,31,23,32,29,30,32,24,27,29,26,28,29,28,30,29,27,27,32,29,34,29,30,30,32,30,28,30,30,27,27,29,37,36,32,28,32,27,26,26,29,29,31,28,28,29,30,27,28,32,28,35,33,30,29,38,35,33,28,26,30,28,28,27,27,26,28,37,28,29,28,28,22,19,27,4,27,26,26,25,28,30,30,28,13,26,27,30,31,28,28,29,28,21,28,31,33,19,26,17,28,26,28,30,30,18,28,27,28,31,29,32,27,27,25,30,18,32,31,31,32,30,27,28,28,28,27,28,35,38,39,28,21,28,29,30,27,31,31,27,26,26,25,26,31,17,27,30,29,36,28,27,27,2,28,31,29,27,29,25,37,30,27,26,21,30,27,26,28,25,32,26,29,34,28,29,29,29
WSM,30,29,29,17,29,30,30,27,32,30,29,30,28,31,32,26,30,30,31,25,29,30,31,30,25,28,30,29,30,32,29,31,31,29,30,30,30,30,31,31,31,30,31,29,26,30,28,30,31,30,32,30,27,29,27,27,28,30,30,36,30,32,31,31,30,30,32,29,29,30,31,31,31,31,30,29,28,32,31,28,28,30,28,31,30,31,30,28,30,29,18,31,6,29,27,28,27,28,30,30,28,14,28,30,31,32,32,31,30,30,25,30,32,29,25,29,18,31,28,29,31,32,21,30,30,34,29,30,32,29,30,26,31,24,30,35,30,30,32,28,30,28,29,28,30,29,32,28,37,22,31,28,31,28,32,32,31,27,27,30,26,32,20,31,31,29,31,30,30,28,4,29,32,31,31,30,34,33,30,30,26,26,31,27,28,31,29,29,27,33,30,29,29,31,30
SNM,26,28,26,20,24,23,28,25,27,29,27,23,25,25,21,25,28,22,25,18,27,28,24,28,22,28,25,24,23,26,23,24,27,23,24,28,25,28,22,26,25,28,27,29,23,28,29,28,24,21,28,28,24,27,21,22,28,23,24,24,28,30,25,24,28,29,26,29,21,28,24,23,21,26,27,29,28,25,25,24,22,27,27,31,23,29,27,25,23,19,15,28,4,24,24,21,29,23,23,25,24,17,29,28,26,25,24,23,24,30,18,25,26,29,16,29,23,27,28,26,25,25,13,25,29,25,26,24,26,28,29,21,25,17,28,23,28,28,27,29,31,24,30,28,23,20,21,21,22,31,24,24,26,28,25,25,24,28,28,17,21,26,15,31,25,24,23,28,30,23,2,25,26,26,23,24,20,25,27,27,22,16,25,28,23,27,25,27,23,21,28,24,24,24,24
STP,32,34,35,19,37,30,36,30,31,34,32,32,32,34,31,30,34,33,38,27,34,34,35,37,25,32,38,32,36,40,33,39,33,36,37,35,33,36,35,39,38,36,38,34,30,34,32,33,36,31,38,35,35,35,34,32,31,35,37,33,33,35,37,35,33,34,37,33,29,36,36,38,33,38,36,33,30,35,34,32,32,31,31,35,32,35,34,31,36,24,20,33,7,34,31,31,31,32,34,35,34,15,32,32,39,36,32,31,37,33,21,37,40,34,22,33,22,34,31,37,39,37,16,33,34,31,35,37,38,33,34,28,33,20,35,35,35,36,35,32,35,35,34,32,36,27,33,28,31,24,43,33,40,33,38,36,30,32,31,26,30,37,22,35,34,35,34,33,35,30,3,31,37,35,34,38,29,34,36,33,28,21,35,33,33,32,31,35,27,32,35,33,34,36,36
SAU,38,37,49,18,37,32,43,35,39,38,38,36,47,42,32,34,39,33,40,30,38,39,35,45,32,37,39,34,32,34,35,41,40,33,35,41,42,41,37,39,36,39,39,39,35,39,37,39,39,30,39,40,49,38,31,34,35,35,37,36,40,42,38,37,34,41,39,39,27,39,37,36,34,37,37,38,36,45,43,43,45,37,37,41,37,43,46,38,36,22,25,41,5,50,37,34,35,46,34,36,48,16,34,36,38,36,42,34,37,36,21,44,40,41,21,32,25,37,36,47,40,35,14,37,40,38,36,37,44,35,40,43,43,20,39,37,37,41,42,38,40,49,39,41,35,26,31,29,28,24,33,55,41,38,35,38,36,36,35,24,36,42,21,40,42,45,35,40,39,45,2,37,38,43,29,39,28,37,47,43,32,19,39,37,50,39,39,39,34,31,41,39,43,35,37
SEN,41,41,45,20,39,34,45,35,40,41,40,36,40,49,35,35,42,34,57,29,45,43,40,50,31,40,53,34,37,42,39,48,43,40,44,43,46,43,40,45,44,43,53,42,35,42,42,43,41,34,43,45,50,41,35,37,38,38,43,38,44,48,45,47,38,45,52,41,29,44,47,46,36,40,41,41,36,47,47,43,39,39,37,42,37,45,50,39,47,23,24,45,7,42,41,34,37,41,39,43,43,18,37,39,46,44,45,34,52,38,24,44,46,43,22,40,25,43,39,47,47,47,16,45,44,40,38,52,56,38,43,36,47,22,41,39,44,47,44,45,43,43,45,44,43,27,35,30,31,26,40,41,62,43,41,45,36,37,36,26,36,47,22,42,43,44,37,44,45,37,3,39,48,45,33,53,29,39,48,42,33,20,45,43,41,43,42,42,36,33,43,39,47,46,45
SER,36,44,42,22,33,31,45,41,43,54,43,34,37,43,32,42,52,32,42,28,40,48,34,48,30,51,38,32,32,35,34,38,48,32,34,44,46,42,32,39,36,41,38,55,32,48,51,49,33,31,40,42,44,39,29,30,46,33,35,34,51,54,36,35,44,50,43,51,27,42,37,32,32,37,37,52,43,44,41,37,33,50,43,52,34,46,44,39,39,21,22,47,7,37,38,31,46,37,33,34,35,22,44,45,39,37,40,30,37,45,20,36,40,45,20,46,29,40,47,45,38,38,13,40,49,42,37,38,45,48,47,32,41,20,39,34,42,44,44,53,48,40,55,51,35,25,32,27,28,28,33,38,43,60,35,35,37,49,49,21,27,43,19,50,41,35,34,50,49,33,3,37,40,44,28,38,27,36,46,49,33,18,37,52,37,48,47,41,35,31,40,36,40,38,36
SEY,35,36,37,20,36,33,37,33,34,36,34,36,33,36,33,31,36,35,39,28,36,37,39,37,29,34,40,33,37,39,34,39,36,36,37,36,35,37,37,42,39,37,40,36,31,37,34,35,37,34,39,36,38,35,32,34,33,38,38,35,35,37,38,36,35,36,41,35,29,37,37,36,35,37,36,35,32,37,36,34,33,33,32,36,36,36,36,34,38,24,21,35,6,35,33,32,33,34,39,38,37,15,34,34,44,41,34,34,39,35,23,39,44,35,22,35,23,37,33,38,41,40,18,35,36,34,34,39,41,35,36,31,35,21,36,38,36,37,36,34,35,37,35,33,38,29,35,31,32,25,38,35,41,35,46,39,33,33,34,27,30,41,22,36,36,38,34,35,37,33,2,35,42,36,33,38,29,38,39,33,29,22,39,34,35,35,32,37,31,32,35,35,35,40,38
SIE,38,37,39,18,37,33,38,33,35,36,36,34,37,43,34,33,36,32,45,29,37,37,39,40,30,34,45,35,38,38,38,43,36,37,40,37,39,38,36,41,40,36,44,36,31,38,33,36,40,33,39,39,41,37,31,34,33,37,40,38,39,39,40,44,33,40,48,36,29,40,42,40,35,35,37,35,32,41,42,38,36,34,32,38,36,37,41,36,43,24,23,38,6,38,37,32,32,35,38,42,38,15,32,32,40,41,41,34,44,34,22,41,40,36,21,33,21,38,33,39,42,41,17,40,37,35,34,43,50,34,37,34,42,21,36,38,36,40,37,34,37,38,35,36,40,28,34,31,32,25,36,38,45,35,39,51,33,32,33,27,33,43,22,37,39,39,36,38,36,36,3,38,44,38,32,44,30,39,41,37,32,21,44,35,36,37,33,37,33,32,36,34,41,41,42
SIN,35,31,36,18,30,32,39,30,45,36,33,33,35,40,33,31,39,31,34,27,33,35,32,39,36,35,33,35,29,32,34,35,44,29,30,40,44,39,31,36,33,37,34,37,30,37,35,39,30,30,37,37,34,34,26,29,35,32,33,36,40,40,33,31,32,40,36,37,27,36,32,30,31,33,34,35,37,46,41,36,32,37,35,40,33,45,36,31,34,24,22,45,6,35,31,34,35,34,31,32,33,17,32,36,35,33,43,32,32,34,22,33,37,40,22,31,22,37,35,37,36,34,16,34,40,45,33,31,38,33,39,31,41,22,36,38,35,40,44,37,39,34,36,41,33,26,31,27,31,24,30,36,36,37,33,33,49,32,33,25,26,40,19,40,39,33,32,39,38,32,5,32,36,43,30,33,30,37,36,38,28,20,35,33,35,41,43,35,30,30,36,39,33,34,32
SLO,33,45,37,21,32,30,44,38,46,60,40,32,35,36,29,42,57,31,36,26,35,43,32,41,27,55,35,30,30,32,33,35,51,29,30,41,39,38,29,35,33,38,34,55,30,47,59,55,31,30,37,36,39,36,27,30,52,31,33,32,57,60,33,31,41,58,36,59,25,36,32,31,31,36,35,59,46,41,37,34,32,51,43,60,32,50,39,38,33,21,20,46,7,35,35,31,51,35,31,33,34,21,51,53,36,33,35,28,33,49,19,33,37,45,19,41,28,36,43,39,35,32,12,35,58,43,34,33,37,45,53,30,38,20,37,32,36,38,38,59,57,36,55,50,32,24,31,26,27,28,32,36,37,49,33,32,32,63,55,22,25,41,19,57,37,33,31,56,52,31,3,34,35,40,26,34,26,33,40,55,31,18,33,51,34,54,51,36,32,31,36,35,35,31,33
SLV,33,43,37,22,30,28,44,37,45,59,38,32,33,36,30,38,59,32,36,26,36,42,31,42,27,53,34,30,30,32,33,33,50,29,30,41,41,39,28,36,33,38,34,56,29,48,56,55,31,29,38,38,38,36,27,28,53,30,32,32,57,59,32,30,40,58,36,58,25,38,32,29,32,35,35,57,45,40,36,34,30,54,41,60,33,49,38,37,33,20,19,48,6,33,34,30,52,34,32,31,32,21,50,54,36,32,34,29,33,48,19,33,36,46,19,41,28,35,44,39,34,33,13,34,58,42,35,32,38,47,53,29,35,19,36,32,36,39,38,56,57,37,54,46,32,25,30,26,27,28,31,35,36,49,34,33,33,55,61,21,25,41,19,58,36,33,33,55,52,31,2,34,35,39,27,33,25,34,39,51,31,18,33,46,34,53,48,38,32,28,37,33,33,32,31
SOL,25,24,23,12,24,27,24,23,28,24,24,26,23,26,27,21,24,26,25,20,24,23,25,24,22,22,25,24,23,25,25,27,27,24,24,24,25,25,25,26,26,24,26,22,22,24,22,24,25,26,26,24,23,24,23,23,22,25,26,31,25,27,24,25,23,24,27,23,24,25,26,26,27,26,25,23,22,27,27,24,25,23,22,25,27,26,24,25,25,27,16,24,5,24,24,24,21,24,25,26,24,9,21,23,26,26,27,25,25,23,23,25,26,23,24,22,14,25,21,23,27,25,19,25,24,28,23,25,27,22,24,22,26,23,24,32,23,25,26,22,24,24,23,23,24,25,27,25,30,17,26,24,26,21,27,27,25,22,21,33,23,26,17,25,26,25,25,25,24,24,3,25,27,26,27,26,28,28,24,25,23,24,25,22,23,26,26,24,23,30,24,25,25,25,25
SOM,31,28,37,14,31,27,32,27,26,30,31,28,34,32,29,25,29,27,36,24,30,29,31,33,24,26,33,27,29,31,28,35,29,30,32,30,31,30,35,33,33,30,36,28,27,29,28,29,39,26,30,30,37,29,29,30,26,30,34,28,30,31,34,35,26,30,33,29,25,29,34,34,29,30,30,28,25,33,32,32,34,28,27,29,29,31,36,31,32,22,21,29,4,35,29,26,24,35,31,30,38,12,25,28,33,33,31,28,34,26,21,38,32,30,21,26,19,28,27,37,35,33,15,30,30,28,29,33,35,26,29,32,33,18,29,30,29,30,30,28,29,35,28,29,31,24,27,26,26,21,30,36,36,27,30,33,26,25,25,23,41,33,21,28,29,41,30,30,29,34,1,30,33,31,27,35,25,30,38,30,29,20,35,27,35,29,28,29,28,26,32,29,36,31,32
SAF,38,37,46,19,39,35,52,34,48,47,38,37,39,46,36,37,48,35,46,30,42,41,43,56,31,43,46,34,37,39,37,44,50,36,37,45,51,45,36,46,42,42,44,45,35,44,45,47,38,34,42,44,46,40,32,36,41,41,42,40,48,51,41,41,36,51,48,47,29,45,41,37,36,39,39,45,41,55,46,43,36,46,40,49,39,51,45,37,45,24,25,51,6,42,37,33,40,39,42,41,40,18,39,43,45,45,44,33,44,41,23,40,46,51,22,36,25,42,38,45,45,46,17,41,48,47,38,41,52,38,49,35,46,22,41,39,41,48,45,46,49,39,46,50,42,28,35,31,32,26,37,42,47,43,41,43,40,41,41,26,33,64,22,48,45,41,36,49,49,37,3,37,49,44,31,42,31,42,45,48,31,21,44,43,39,50,48,42,33,33,43,38,42,45,43
SSD,21,20,22,10,22,19,21,20,19,21,20,20,20,21,19,19,21,20,22,20,21,21,22,21,16,19,22,20,22,22,21,22,21,21,22,21,21,21,21,22,22,21,22,20,16,20,19,21,23,17,21,21,22,21,19,20,20,21,23,20,20,21,22,22,20,21,22,21,17,21,21,22,20,21,21,20,20,21,21,21,20,21,20,21,20,21,21,20,23,15,12,20,5,20,20,20,19,20,22,21,22,6,19,20,22,22,20,21,22,20,16,22,22,20,16,20,11,21,19,22,22,22,12,21,21,20,21,22,22,20,21,20,21,13,21,21,21,21,21,19,20,21,20,20,22,17,19,17,20,15,22,21,22,19,22,22,19,19,19,17,21,22,23,20,21,23,20,21,21,20,0,21,22,21,21,22,18,21,22,20,19,13,23,19,20,21,20,21,18,18,21,21,21,22,22
